chemical formula,crystal system,Structure Type,structure rank,ICSD ref #,space group,avg bond length (Å),polyhedral volume (Å^3),distortion index,quadratic elongation,bond angle variance (deg^2),ECoN,cation,Cation rank,ionic radius,charge,,,
FeNb2O6-Fe,orthorhombic,columbite,4,15855,pbcn,2.1117,12.3069,0.00689,1.0135,46.743,5.9884,Fe,80,0.61,2,,,
FeNb2O6-Nb,orthorhombic,columbite,4,15855,pbcn,2.0181,10.5524,0.06861,1.0306,87.6389,4.5973,Nb,51,0.64,5,,,
CoNb2O6-Co,orthorhombic,columbite,4,182710,pbcn,2.0973,12.0252,0.01296,1.0155,52.6837,5.9491,Co,90,0.65,2,,,
CoNb2O6-Nb,orthorhombic,columbite,4,182710,pbcn,2.0254,10.9103,0.07442,1.0182,30.9505,4.7277,Nb,51,0.64,5,,,
CaNb2O6-Ca,orthorhombic,columbite,4,15208,pbcn,2.3667,16.0604,0.01722,1.0663,209.1828,5.92,Ca,22,1,2,,,
CaNb2O6-Nb,orthorhombic,columbite,4,15208,pbcn,2.02,10.4848,0.06966,1.0396,106.1131,4.2054,Nb,51,0.64,5,,,
WO3-1,triclinic,corundum,5,80055,P -1,1.9134,9.0715,0.07029,1.0267,67.7101,4.0561,W,62,0.6,6,,,
WO3-2,triclinic,corundum,5,80055,P -1,1.9552,9.7698,0.06785,1.018,46.0228,4.9456,W,62,0.6,6,,,
WO3-3,triclinic,corundum,5,80055,P -1,1.9038,9.0405,0.06684,1.0187,39.9365,4.2181,W,62,0.6,6,,,
WO3-4,triclinic,corundum,5,80055,P -1,1.9494,9.3651,0.09418,1.0472,123.3097,3.6195,W,62,0.6,6,,,
Mo0.4V1.6O3,trigonal,corundum,5,97448,R -3 c,2.0173,10.8357,0.01657,1.007,24.2031,5.9398,V,50,0.64,3,,,
Mo0.4V1.6O3,trigonal,corundum,5,97448,R -3 c,2.0173,10.8357,0.01657,1.007,24.2031,5.9398,Mo,61,0.69,3,,,
